RT @ydeelove: KFC get your shit together,Slightly Negative,Angry,Unspecified
Fav ~ KFC Yum! http://t.co/J3J9IlwjQ2,Slightly Positive,Excited,Unspecified
kfc barbecue chicken😍😍,Slightly Positive,Happy,Unspecified
Kfc in marsh so nice!,Highly Positive,Satisfied,Unspecified
"My step dads bring me cookies for kfc so lucky",Slightly Positive,Happy,Unspecified
@APT78 back when the KFC was still in Dyckman.,Neutral,Satisfied,Unspecified
"""@___emmG: I Fw churches 😋🍗"" KFC better",Slightly Positive,Satisfied,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Satisfied,Unspecified
"Wanted to go to the game 😞 instead I'll be selling chicken love u kfc. Not",Very Negative,Satisfied,Unspecified
"@liz_kazmierczak @kfc lizzy this is why you're bae",Slightly Negative,None,Unspecified
“@pyepar: Girl would rather hold a bag of KFC instead of holding ur hand 😒..  Smh”😹😹😹,Slightly Positive,Satisfied,Unspecified
RT @syrhbbkr: kinda want 2 get fit and train 4 abs yet kinda want 2 eat kfc n pizza n hersheys n cheese fries n chips n donuts n candies n …,Neutral,Happy,Unspecified
At work at @KFC http://t.co/CnMJtWCFbl,Slightly Positive,None,Unspecified
@Leokingo1 @canthathemuse @Walk_into_a_bar niggas only suicide when they close kfc or popeyes,Very Negative,None,Unspecified
Worst kfc I've ever had,Very Negative,Dissatisfied,Unspecified
RT @NotLikeAnt: 😭 RT @QB_Hitman: I'd pick this shit with a KFC bucket taped around my head with grape soda cologne http://t.co/nwaeY05GPy,Neutral,Satisfied,Unspecified
"So fucking stuffed with KFCcan't even move ",Neutral,Satisfied,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/3udMAGlZOj",Neutral,Satisfied,Unspecified
"""Gourmet KFC? Chicken chain trials concept store in Parramatta"" ",Slightly Positive,Satisfied,Unspecified
RT @skullpuppy11: The sexual tension in this KFC is unbearable.,Very Negative,Satisfied,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/TET3pha0te",Slightly Positive,Satisfied,Unspecified
"RT @cobibudge__: Subway beats McDonald's Burger King &amp; KFC any day of the week.",Slightly Negative,None,Unspecified
Dorm - KFC - Dorm. Take out! Busolve.,Neutral,Excited,Unspecified
RT @BLACKTWITRVINES: THE FUCK YOU MEAN KFC RAN OUT OF CHICKEN?! http://t.co/mnQ3FPKC2R,Very Negative,Angry,Unspecified
"#KFC 14 days since your customer raised a case; needs action. Reminder sent: RES018600",Very Negative,Dissatisfied,Poor customer service
"@KFCBarstool KFC so hot today KFC..... Wait what ?",Neutral,Satisfied,Unspecified
"Today I sat in McDonald's eating a KFC I'm so yolo it hurts",Neutral,Satisfied,Unspecified
KFC for lunch 😍🍗😋,Slightly Positive,Satisfied,Unspecified
KFC meals contain mystery organs from tormented chickens - http://t.co/GjRQsmCeC2 http://t.co/vF6jwiFysG via @HealthRanger,Slightly Negative,Dissatisfied,Tormented meat used
I want kfc.. Now,Slightly Positive,Excited,Unspecified
Fav ~ KFC Yum! http://t.co/J3J9IlwjQ2,Slightly Positive,Happy,Unspecified
"""@_edweeezyyy: I want KFC 😕"" same 🍗",Neutral,Happy,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,None,Unspecified
"KFC cashier said ""we outta chicken"".... What? 😒",Slightly Negative,Dissatisfied,Poor customer service
"I kid but yeah no drugs for me I'm too busy spending my money on KFC to afford that.",Slightly Negative,Satisfied,Unspecified
"""@Snubnose_25: @shay2cute @BillyRandom lmfaoooo good ass slop"" she make KFC mash bowls lmao",Neutral,Happy,Unspecified
KFC from JB tastes soooo much better than the ones in SG,Slightly Positive,Happy,Unspecified
"#protein loading before gym. Oh the terrible lies I tell myself! #chicken #KFC #dinner https://t.co/LyaYjV6YiO",Slightly Positive,Satisfied,Unhealthy Food
"RT @BFNotAIIowed: My boyfriend isn't allowed to work at KFC. Tryna touch other legs breasts  and thighs all day?? Nah boo",Neutral,Satisfied,Unspecified
"RT @thecrazy_love: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/B4d9p5H2Rj http:…",Very Negative,Dissatisfied,Unspecified
Be right back I'm going to kfc #tendersos,Neutral,Satisfied,Unspecified
KFC Friday's 😍😍😍 #cheatday,Neutral,Happy,Unspecified
my mom has kfc yEAADHH,Neutral,Satisfied,Unspecified
@NiharikaDg Use the @Niffler_in app to get updates on deals from KFC. http://t.co/mVSSJ83TCt,Neutral,Satisfied,Unspecified
"@BoxingAsylum @FutureJab if he's relying on his purse from warrenhe'll be lucky if can can buy a leg of chicken in KFC!",Slightly Positive,Satisfied,Unspecified
"Decent day sorted for wedding tomorrow 👍 Destroyed a KFC earlier and bought mixed dozen in Krispy Kreme's to eat tonight!! @Nicola_Gibbard",Slightly Positive,Satisfied,Unspecified
@kfc  mlk died for this,Slightly Positive,Satisfied,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules http://t.co/BQUpuJwWhz",Highly Positive,Happy,Unspecified
RT @CHlLDHOODRUINER: THE FUCK YOU MEAN KFC RAN OUT OF CHICKEN?! http://t.co/LFbpGhhNWj,Very Negative,Angry,Unspecified
Hardcore bboy training starts today... After I get home and eat my KFC I just bought LOL.,Slightly Positive,Happy,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Excited,Unspecified
RT @juju_junior11: But KFC needs to decide if they supply Straws or Hose pipes,Neutral,None,Unspecified
"RT @LifeSimplifying: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/106HCmfOSR htt…",Slightly Negative,Dissatisfied,Unspecified
Getting emotional at the KFC advert 😂,Highly Positive,Happy,Unspecified
@Sashhh_xo @SeleneTehira *unfriends/unfollow sasha. U HANDLING US W KFC TMR HANSEY?&gt;,Slightly Negative,Angry,Unspecified
Kfc only hire mongs I swear,Slightly Negative,Dissatisfied,KFC Recruitment Policy
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Sad,Unspecified
"With Rika Sifani and 3 others at KFC Cideng — https://t.co/bcUd6L6gZC",Neutral,None,Unspecified
"RT @thecrazy_love: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/B4d9p5H2Rj http:…",Very Negative,Dissatisfied,Unspecified
@Shelby120992 kfc is better,Highly Positive,Satisfied,Unspecified
RT @athashaazhari: I am here for KFC but Sembawang SunPlaza KFC concept is different from others.Ala-ala cafe.Saya kasi 🌟🌟🌟🌟🌟 bintang. http…,Neutral,Satisfied,Unspecified
RT ~ Carrier Dome,Neutral,Happy,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Excited,Unspecified
@Alex_Hayton Have you checked our website out yet? :) #kfc #mcds #burger king #nandos delivery..:),Neutral,None,Unspecified
RT @OMGFacts: Only two people at KFC know the secret recipe of 11 herbs &amp; spices and they are not allowed to travel together for security r…,Neutral,Excited,Unspecified
"RT @IamJukeSA: 😂😂😂 RT ""@MOOH_LUTHULI: KFC should consider giving straws not these  horse pipes""",Slightly Negative,Dissatisfied,Unspecified
"Lunch (with mawaddah jihan and 2 others at KFC) — https://t.co/TAVd4IcfnL",Neutral,Disgust,Unspecified
"RT @KFC_SG: Enjoy Singapore’s favourite KFC Meal at just $5! So Shiok #sogood! http://t.co/Sps9OoHjah",Highly Positive,Satisfied,Unspecified
#LastMinute #Coupon http://t.co/22rsDhx0V0 Lot of KFC Restaurant Kentucky Fried Chicken Coupons (Exp 04/05/2015) http://t.co/seOB1PT373,Neutral,Excited,Unspecified
With Monicaaa at KFC — https://t.co/dYMpkqFRVm,Neutral,Satisfied,Unspecified
Craving kfc,Slightly Positive,Happy,Unspecified
"RT @LifeSimplifying: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/106HCmfOSR htt…",Slightly Negative,Dissatisfied,Unspecified
RT @Boxing_Memes: Adrien Broner weighs in 1 pound over the 140 limit. ,Neutral,Dissatisfied,Unspecified
@StephBoyle1 @ProblemsAtUni @Jsandford92 your face when I mentioned KFC http://t.co/WPshW0QwYa,Neutral,None,Unspecified
RT @alldrolledup: *points my KFC drumstick at him to emphasize my statement*,Neutral,Satisfied,Unspecified
Y kfc gotta be so far,Slightly Negative,Sad,Unavailability of KFC in a region
@GabbyOlschewske @kfc oh I'm sure you did,Slightly Positive,Satisfied,Unspecified
RT @BlackPplVines: KFC FUCKED UP 💀 http://t.co/IeUck3V1O0,Very Negative,Dissatisfied,Unspecified
"With Ananda Ardian  and 4 others at Kfc Hi tech mall — https://t.co/DC5Y962xJn",Slightly Positive,Happy,Unspecified
"RT @StealthXpress: @ElbyLShore @Alex_Hayton I just had fish and chips can't have a KFC now plus Alex is gonna take all the chicken and I c…",Neutral,Happy,Unspecified
"RT @Louis_Tomlinson: ITS OFFICIAL IN AMERICA KFC DON'T HAVE KRUSHEMS IM OUTRAGED !",Very Negative,Angry,Unspecified
"RT @miss_aashley: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/5TPeBWxjz4 http:/…",Very Negative,Disgust,Unhealthy Food
RT @jamesetjones: KFC meals contain mystery organs from tormented chickens #health http://t.co/5LispH0pMy http://t.co/N2rs1Kh0YU,Very Negative,Disgust,Tormented meat used
Enter the PEOPLE KFC Nuggets of Wisdom Sweepstakes.  See Rules http://t.co/tiVcdsb2Vf,Neutral,Satisfied,Unspecified
"This is unhealthy so I’m saying it on twitterverse to get it outta my system “mixed KFC big deal leg thigh rib” #ThatIsAll",Slightly Negative,Sad,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Happy,Unspecified
@stotleholley popeyes 2 pc chicken box head ass kfc double down sandwhich box head ass boyy lemme get the chicken gizzard meal head ass boy,Slightly Negative,Angry,Unspecified
RT @danisnotanITBot: but i s2g if i don't want you to blame me if you end up working in kfc.,Slightly Negative,Sad,Unspecified
"RT @miss_aashley: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/5TPeBWxjz4 http:/…",Slightly Negative,Disgust,Unhealthy Food
"RT @IdeasUnlock: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this:http://t.co/j8is5FsCwZ http://…",Very Negative,Dissatisfied,Unhealthy Food
"RT @Conky_FN: ""What should I get from KFC""",Slightly Negative,Dissatisfied,Unspecified
"Is true. It's disgusting. ""@DIAZAPAN: ""OMG they are using foster children to sell KFC"" @richardpatient""",Very Negative,Disgust,Tormented meat used
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/5y3MZesHrR",Highly Positive,Excited,Unspecified
KFC cravings 😱😱😱😱😱😱,Slightly Positive,Dissatisfied,Unspecified
Mom came through with KFC😋,Neutral,Happy,Unspecified
Sister thinks i'm in a bad mood bc she didn't let me get kfc like how pathetic does she think i am,Slightly Negative,Sad,Unspecified
That kfc was so good 😋,Highly Positive,Happy,Unspecified
"""If it weren't for you guys I would've still been stuck working at kfc""",Slightly Negative,Satisfied,Unspecified
RT @BLACKTWITRVINES: THE FUCK YOU MEAN KFC RAN OUT OF CHICKEN?! http://t.co/mnQ3FPKC2R,Very Negative,Dissatisfied,Unspecified
"RT @sheldonsarcasm: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/HE7wJGMHZu http…",Very Negative,Disgust,Unspecified
@SCR33N23 @JC_1221 exposed? Oh my god! What shall I do.... Some random KFC American called me out on a PBC joke? Oh my god!,Very Negative,Dissatisfied,Unspecified
Curry or KFC always KFC rookie mistake Joe 😔,Neutral,Dissatisfied,Unspecified
Have fun with frnds At kFc..,Highly Positive,Satisfied,Unspecified
"RT @KFC_SG: Enjoy Singapore’s favourite KFC Meal at just $5! So Shiok #sogood! http://t.co/Sps9OoHjah",Highly Positive,Happy,Unspecified
#need some kfc #BBQ hotwings....like right now,Neutral,Satisfied,Unspecified
RT @beertocat: I got egged while rollerblading to KFC again.,Slightly Negative,Dissatisfied,Unspecified
RT @kaylinronsonet: @Brittanyyjoy yes there was. It was where the little Cesar's is by kfc,Neutral,Happy,Unspecified
"RT @PrincessC_____: ""@thuglook_: KFC anit fuckin' wit popeyes 😭👐🍗""on bib they not",Slightly Negative,Angry,Unspecified
Going to eat some kfc now,Slightly Positive,Satisfied,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules http://t.co/akphoF42Of",Slightly Positive,Happy,Unspecified
"RT @sheldonsarcasm: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/HE7wJGMHZu http…",Very Negative,Disgust,Unspecified
@Dhaksha_ @imanii101 hahaha woman shut up am at KFC and laughing so hard,Slightly Positive,Happy,Unspecified
"Kfc?""@LeratoMoen: Drive thru n we wait for this long....hawu!""",Slightly Negative,Dissatisfied,Long  waiting line
@Letnekable The only thing better than a trip to KFC is TWO trips to KFC! #Round2,Slightly Positive,Happy,Unspecified
*photoshoot people offer me a wide array of McDonald's and KFC*,Neutral,Happy,Unspecified
I have to babysit all weekend but hey I have my KFC famous bowl😄,Highly Positive,Happy,Unspecified
all I want is kfc gravy,Slightly Positive,Excited,Unspecified
Fav ~ KFC Yum! http://t.co/J3J9IlwjQ2,Slightly Positive,Satisfied,Unspecified
My love for KFC is so big 🍗🍗🍗🍟,Highly Positive,Happy,Unspecified
First marks back.. sitting on an 88 #greatyear #greatmark might celebrate with some bud lights and a bucket of kfc's finest #treatyoself 💁,Highly Positive,Happy,Unspecified
@kfc is set to debut coffee cups that are edible. Next up: Coffee that is drinkable. http://t.co/EViOuBNIGN,Slightly Positive,Happy,Unspecified
RT @SMTOWNGLOBAL: #EXO at commercial shooting of 'KFC'. http://t.co/lEt64yaWjv http://t.co/n3B690GeVF,Neutral,Satisfied,Unspecified
"RT @BilMurray: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/czFcDAksAW http://t.…",Slightly Negative,Disgust,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Satisfied,Unspecified
How-Ling RT @QB_Hitman: I'd pick this shit with a KFC bucket taped around my head with grape soda cologne http://t.co/VFR4M1EH6c,Very Negative,Angry,Poor customer service
RT @Yanko_Greg: @DSmoove_92 go eat some KFC,Slightly Positive,Satisfied,Unspecified
RT @qz: KFC’s edible coffee cups will also include infused scents of “freshly cut grass” http://t.co/MKvUiaSOWo http://t.co/smglRJ8UqV,Neutral,Satisfied,Unspecified
RT @iamKobz: what's the meaning of KFC ? #JudeFabObiFilmz #SebeeBy_SOSSI,Neutral,Satisfied,Unspecified
That KFC this evening tho,Slightly Negative,Dissatisfied,Unspecified
I just checked in @kfc with #mPLACES  Download today!  http://t.co/aMuyo54oSC,Neutral,Satisfied,Unspecified
KFC is hiring !,Slightly Negative,Disgust,Unspecified
"Hehe you know 😏 ""@Muzi_X: Cant go wrong with Mc.....D ""@Fenty_Heaux: McD's ""@MolestMeRihanna: Should I eat McDonalds or KFC?""""""",Neutral,Happy,Unspecified
I can't live without kfc,Highly Positive,Excited,Unspecified
@gunhee94 i just ordered kfc,Neutral,Satisfied,Unspecified
@Conor_y0 yeah n apply for kfc lol they rejected me :))),Neutral,Happy,Unspecified
this kfc is lifeeeeee,Slightly Positive,Happy,Unspecified
“@BlackPplVines: KFC FUCKED UP 💀 http://t.co/VrVYn2wyXD” what I deal with on a daily basis 😐,Very Negative,Dissatisfied,Unspecified
@kfc your chicken drumsticks are nasty and sweaty.,Very Negative,Dissatisfied,Unspecified
